"","id","timestamp","Date","Time","Number People Out","Number of Mask Wearers","Number of People with No Masks","Portion of Mask Wearers","Portion of No Masks","Country","Postcode","Longtitude","Latitude"
"1","2ba84448-f878-45f3-b4c9-79f17e9cce2a","2020-08-02 21:28:01","08/02/2020"," 21:28:01",2105,1832,273,0.870308788598575,0.129691211401425,"Australia","3571",144.255888988754,-36.4531154698992
"2","6197f255-2270-4b3e-8bfc-9f064ff9c50f","2020-07-22 17:13:47","07/22/2020"," 17:13:47",1635,1095,540,0.669724770642202,0.330275229357798,"Australia","3571",144.063077932058,-36.3961048609162
"3","19d20073-8998-4818-8852-784c4ff2a9f6","2020-06-15 20:58:36","06/15/2020"," 20:58:36",921,633,288,0.687296416938111,0.312703583061889,"Australia","3571",144.123640379492,-36.3364514144269
"4","f7d2973c-83b9-401b-a96d-543684c938a7","2020-06-21 16:34:53","06/21/2020"," 16:34:53",170,25,145,0.147058823529412,0.852941176470588,"Australia","3571",144.295890535069,-36.4190384314605
"5","8aa9a57e-0877-486b-bf15-00f41845b7fd","2020-07-30 13:19:19","07/30/2020"," 13:19:19",1034,197,837,0.190522243713733,0.809477756286267,"Australia","3571",144.233069716485,-36.4611742696961
"6","c5226a6e-6cf8-461f-aa42-2decd095f3a9","2020-08-06 13:00:26","08/06/2020"," 13:00:26",508,207,301,0.40748031496063,0.59251968503937,"Australia","3571",144.205168812569,-36.4076285578288
"7","fffc0adf-d0d3-4c79-b8b4-4ca82671e6e2","2020-06-06 21:23:12","06/06/2020"," 21:23:12",2165,1701,464,0.78568129330254,0.21431870669746,"Australia","3571",144.278981816653,-36.3890672137169
"8","cc7fd887-39a8-47b4-99ef-354f5ff0226b","2020-06-25 22:14:33","06/25/2020"," 22:14:33",1476,818,658,0.55420054200542,0.44579945799458,"Australia","3571",144.216406899571,-36.3824753350809
"9","80366c08-3e3a-4bb5-9591-d9eca451c727","2020-07-02 16:56:34","07/02/2020"," 16:56:34",1574,367,1207,0.233163913595934,0.766836086404066,"Australia","3571",144.199169679229,-36.3730190602788
"10","a165fc65-eae3-4049-a999-a922957fe642","2020-08-09 13:47:56","08/09/2020"," 13:47:56",1983,1588,395,0.800806858295512,0.199193141704488,"Australia","3571",144.20346626704,-36.3426410381017
"11","885900c1-0aa2-4926-a0ed-81b248ee720f","2020-06-06 17:30:09","06/06/2020"," 17:30:09",195,167,28,0.856410256410256,0.143589743589744,"Australia","3571",144.170108616133,-36.3359989535478
"12","fe95c54d-c5c3-4e26-a2c6-799b744a0376","2020-07-24 01:46:08","07/24/2020"," 01:46:08",1816,1722,94,0.948237885462555,0.0517621145374449,"Australia","3571",144.166156316606,-36.3980201758334
"13","b7e5293f-ff8d-4eb1-afff-62d4c795dfb2","2020-07-26 13:48:01","07/26/2020"," 13:48:01",2008,939,1069,0.467629482071713,0.532370517928287,"Australia","3571",144.149379522349,-36.350767124368
"14","74d47f99-738e-4ab3-9e93-10bcb8970ffd","2020-06-27 09:48:04","06/27/2020"," 09:48:04",2135,905,1230,0.423887587822014,0.576112412177986,"Australia","3571",144.116278336223,-36.391698319327
